,ad_id,campaign_id,platform,impressions,clicks,ctr,spend,ad_date,client_name
1,AD5001,CAM1042,Facebook,77635,3404.0,1.06,33572.22,2023-12-26,FinMark
2,AD5002,CAM1014,LinkedIn,28760,1457.0,1.3,21547.4,2023-03-09,FinMark
3,AD5003,CAM1018,,16360,,6.78,35353.78,2022-04-19,FinMark
4,AD5004,CAM1093,Facebook,15313,4285.0,2.3,21125.85,2023-10-03,FinMark
5,AD5005,CAM1001,Email,90998,1457.0,1.96,25727.23,2024-12-06,FinMark
6,AD5006,CAM1061,LinkedIn,10801,4394.0,4.29,1360.3,2023-01-14,FinMark
7,AD5007,CAM1015,Email,19130,4733.0,6.27,34894.29,2025-01-24,FinMark
8,AD5008,CAM1010,Instagram,19271,3292.0,0.96,33405.79,2024-08-15,FinMark
9,AD5009,CAM1070,Email,21075,400.0,4.83,2881.64,2022-04-13,FinMark
10,AD5010,CAM1009,Facebook,23984,823.0,1.39,19044.26,2024-06-10,FinMark
11,AD5011,CAM1093,LinkedIn,93095,3110.0,0.77,48972.56,2024-05-03,FinMark
13,AD5013,CAM1014,Instagram,17861,3936.0,6.76,25595.32,2024-11-16,FinMark
14,AD5014,CAM1059,Facebook,87203,4093.0,1.38,45586.58,2023-06-14,FinMark
15,AD5015,CAM1001,,76376,2606.0,0.84,36145.83,2023-11-10,FinMark
16,AD5016,CAM1059,Facebook,66247,1637.0,3.78,29521.44,2024-09-15,FinMark
17,AD5017,CAM1032,YouTube,74101,497.0,6.83,40092.43,2025-01-10,FinMark
18,AD5018,CAM1081,,25977,4815.0,2.47,43353.95,2023-03-04,FinMark
19,AD5019,CAM1014,Facebook,55617,3457.0,3.66,23387.52,2024-04-01,FinMark
20,AD5020,CAM1089,Facebook,62473,1263.0,0.8,24280.31,2025-03-31,FinMark
21,AD5021,CAM1045,Facebook,91654,4925.0,3.87,,2024-07-20,FinMark
23,AD5023,CAM1021,YouTube,77902,3761.0,,35161.15,2024-11-27,FinMark
24,AD5024,CAM1087,LinkedIn,97172,1851.0,2.99,5077.93,2023-05-26,FinMark
25,AD5025,CAM1066,YouTube,20630,3041.0,2.87,43285.02,2023-01-28,FinMark
26,AD5026,CAM1074,Facebook,25056,2757.0,,24547.44,2023-12-14,FinMark
27,AD5027,CAM1076,Instagram,12382,2895.0,3.25,4368.94,2023-05-09,FinMark
28,AD5028,CAM1085,Email,60739,2429.0,1.25,27936.15,2025-05-08,FinMark
30,AD5030,CAM1070,Facebook,53639,1701.0,7.75,44009.72,2025-04-17,FinMark
31,AD5031,CAM1099,,64838,2893.0,7.78,10995.74,2023-07-01,FinMark
32,AD5032,CAM1012,,51041,1580.0,6.99,41496.77,2023-08-17,FinMark
33,AD5033,CAM1099,,5992,1202.0,,28326.75,2023-01-24,FinMark
36,AD5036,CAM1098,Instagram,32160,3979.0,,26118.15,2024-10-24,FinMark
37,AD5037,CAM1070,YouTube,50156,1635.0,3.92,15252.97,2022-06-16,FinMark
38,AD5038,CAM1028,Instagram,56375,177.0,4.12,24000.94,2024-08-17,FinMark
39,AD5039,CAM1099,LinkedIn,91442,2931.0,6.18,43035.03,2023-02-13,FinMark
41,AD5041,CAM1064,LinkedIn,9136,2821.0,2.89,10441.14,2025-05-12,FinMark
42,AD5042,CAM1033,Instagram,66868,3727.0,7.43,7324.49,2022-07-13,FinMark
43,AD5043,CAM1046,LinkedIn,87263,1632.0,0.92,15595.11,2022-08-23,FinMark
45,AD5045,CAM1035,Instagram,20479,2096.0,7.35,,2025-03-19,FinMark
46,AD5046,CAM1028,Email,36376,3527.0,5.08,12146.6,2025-03-28,FinMark
48,AD5048,CAM1029,YouTube,75456,3189.0,2.37,17303.74,2024-03-26,FinMark
49,AD5049,CAM1013,,24585,623.0,3.07,47056.29,2023-02-08,FinMark
50,AD5050,CAM1059,Instagram,22272,4375.0,6.89,,2024-06-11,FinMark
51,AD5051,CAM1029,LinkedIn,31619,4318.0,4.69,49418.08,2023-11-09,FinMark
53,AD5053,CAM1015,Facebook,44895,4675.0,1.25,9779.03,2022-03-09,FinMark
54,AD5054,CAM1029,LinkedIn,8720,1897.0,0.62,44665.86,2022-03-29,FinMark
55,AD5055,CAM1009,Facebook,24267,2231.0,7.73,23557.41,2022-08-05,FinMark
57,AD5057,CAM1024,LinkedIn,34968,2794.0,5.02,49201.87,2025-03-04,FinMark
59,AD5059,CAM1067,INSTAGRAM,28345,3240.0,5.62,5738.03,2022-05-20,FinMark
60,AD5060,CAM1046,,56567,242.0,7.49,36302.38,2023-09-10,FinMark
61,AD5061,CAM1083,LinkedIn,96229,4387.0,,14809.43,2022-05-13,FinMark
62,AD5062,CAM1065,YouTube,66607,1510.0,,10030.77,2022-06-27,FinMark
63,AD5063,CAM1065,Facebook,24385,4573.0,,2928.73,2024-03-20,FinMark
66,AD5066,CAM1001,,73244,3464.0,7.1,7587.24,2024-06-26,FinMark
67,AD5067,CAM1067,LinkedIn,70425,1132.0,5.37,,2023-10-20,FinMark
68,AD5068,CAM1029,YouTube,83518,3442.0,7.24,30688.94,2023-03-26,FinMark
69,AD5069,CAM1089,Email,87844,1510.0,5.18,21989.24,2023-08-09,FinMark
70,AD5070,CAM1028,Email,37919,4600.0,1.48,2328.23,2023-04-08,FinMark
71,AD5071,CAM1061,Email,95697,1272.0,2.82,39391.57,2024-09-16,FinMark
72,AD5072,CAM1067,LinkedIn,62196,988.0,2.01,1515.15,2025-02-05,FinMark
73,AD5073,CAM1035,Instagram,84401,3438.0,7.32,38332.6,2022-05-02,FinMark
74,AD5074,CAM1014,,5495,4617.0,6.2,44771.92,2022-01-17,FinMark
75,AD5075,CAM1061,Instagram,49755,1741.0,5.57,22209.16,2025-05-04,FinMark
76,AD5076,CAM1064,Email,72684,571.0,2.76,27241.58,2022-11-23,FinMark
77,AD5077,CAM1049,,38324,3040.0,1.88,24372.19,2022-11-14,FinMark
78,AD5078,CAM1081,YouTube,83929,646.0,6.17,20071.22,2024-03-19,FinMark
80,AD5080,CAM1015,,56272,,2.19,44802.74,2023-05-18,FinMark
81,AD5081,CAM1059,FACEBOOK,40853,2925.0,5.12,17455.0,2022-04-29,FinMark
82,AD5082,CAM1006,,37924,3823.0,0.8,31138.42,2023-12-11,FinMark
83,AD5083,CAM1033,LinkedIn,79462,463.0,2.95,46418.47,2022-02-14,FinMark
84,AD5084,CAM1076,YouTube,28889,2266.0,4.01,48140.87,2022-11-10,FinMark
85,AD5085,CAM1028,Facebook,59675,,,25938.99,2025-04-17,FinMark
86,AD5086,CAM1049,Instagram,78591,645.0,,,2023-02-22,FinMark
87,AD5087,CAM1062,LinkedIn,75190,3340.0,2.07,14656.02,2023-07-10,FinMark
88,AD5088,CAM1061,LinkedIn,27634,4829.0,1.48,47984.72,2025-01-06,FinMark
89,AD5089,CAM1037,Instagram,37363,2036.0,2.03,7997.9,2022-11-22,FinMark
92,AD5092,CAM1070,YouTube,61398,3906.0,4.74,14671.41,2023-05-30,FinMark
93,AD5093,CAM1076,,45718,982.0,0.66,20843.46,2022-08-02,FinMark
94,AD5094,CAM1032,Email,87916,,0.76,49940.85,2022-03-15,FinMark
95,AD5095,CAM1088,YouTube,31870,970.0,3.84,3693.35,2023-05-24,FinMark
96,AD5096,CAM1033,Instagram,42394,4711.0,6.62,29348.55,2022-11-28,FinMark
97,AD5097,CAM1032,Facebook,57057,3085.0,7.14,5046.04,2025-01-21,FinMark
98,AD5098,CAM1006,Facebook,84795,965.0,,8571.52,2023-11-19,FinMark
99,AD5099,CAM1010,,85409,4409.0,4.54,22538.58,2023-10-19,FinMark
102,AD5102,CAM1067,,5153,2344.0,6.72,16506.4,2024-10-24,FinMark
103,AD5103,CAM1062,YouTube,12853,118.0,1.5,5261.38,2025-03-07,FinMark
105,AD5105,CAM1033,,20792,3183.0,,48361.36,2023-08-23,FinMark
106,AD5106,CAM1082,LinkedIn,43367,429.0,7.56,47290.66,2024-12-11,FinMark
107,AD5107,CAM1049,Email,23100,965.0,5.57,17409.04,2022-11-21,FinMark
108,AD5108,CAM1012,Facebook,68456,,3.23,28971.84,2024-09-18,FinMark
109,AD5109,CAM1012,Instagram,16049,4587.0,7.54,45570.17,2023-12-18,FinMark
110,AD5110,CAM1037,Facebook,5786,4832.0,2.57,1303.01,2023-12-24,FinMark
111,AD5111,CAM1032,Email,74904,2454.0,2.99,40723.49,2022-10-04,FinMark
112,AD5112,CAM1085,LinkedIn,35699,3438.0,5.76,47470.11,2023-06-20,FinMark
113,AD5113,CAM1076,Facebook,52691,3618.0,6.24,5474.96,2022-06-01,FinMark
114,AD5114,CAM1083,Email,42040,3042.0,7.47,8910.94,2024-08-12,FinMark
115,AD5115,CAM1018,YouTube,97990,2667.0,2.04,48076.57,2022-09-16,FinMark
116,AD5116,CAM1012,Instagram,62986,1774.0,6.48,27339.47,2022-11-20,FinMark
117,AD5117,CAM1087,Facebook,43762,2783.0,,1695.64,2024-10-13,FinMark
118,AD5118,CAM1006,LinkedIn,28600,3480.0,,13623.97,2024-05-18,FinMark
119,AD5119,CAM1018,YouTube,99774,839.0,3.4,23047.24,2025-04-06,FinMark
120,AD5120,CAM1088,Email,95777,1645.0,2.62,34952.54,2023-11-19,FinMark
121,AD5121,CAM1074,Instagram,24810,4664.0,2.78,36924.86,2022-11-06,FinMark
122,AD5122,CAM1042,LinkedIn,90703,2359.0,7.87,49775.65,2024-03-13,FinMark
123,AD5123,CAM1042,Email,92347,1235.0,5.32,15088.05,2024-12-15,FinMark
124,AD5124,CAM1042,,62204,973.0,5.88,27372.78,2023-09-12,FinMark
125,AD5125,CAM1067,Facebook,25085,4655.0,7.82,27132.85,2023-04-18,FinMark
127,AD5127,CAM1081,LinkedIn,79797,851.0,6.51,9288.93,2023-04-06,FinMark
129,AD5129,CAM1066,Facebook,44779,3832.0,,42812.54,2024-03-24,FinMark
130,AD5130,CAM1035,Instagram,61207,2383.0,1.85,25418.32,2024-04-25,FinMark
131,AD5131,CAM1014,Instagram,99615,1429.0,7.61,30559.03,2025-03-10,FinMark
132,AD5132,CAM1001,Email,38980,577.0,2.14,12135.79,2023-10-29,FinMark
133,AD5133,CAM1066,Facebook,61117,2826.0,,27645.57,2022-09-19,FinMark
136,AD5136,CAM1010,LinkedIn,20896,4605.0,5.06,49523.97,2022-12-21,FinMark
137,AD5137,CAM1010,Instagram,94353,1369.0,3.83,30955.74,2024-02-09,FinMark
138,AD5138,CAM1035,Facebook,34813,4281.0,6.07,19177.71,2022-06-29,FinMark
139,AD5139,CAM1059,Facebook,89431,2703.0,2.21,38835.45,2022-03-07,FinMark
140,AD5140,CAM1088,Instagram,70679,1569.0,0.94,9352.66,2024-03-30,FinMark
142,AD5142,CAM1066,LinkedIn,77903,1780.0,4.06,18000.99,2022-06-20,FinMark
143,AD5143,CAM1060,Email,8228,341.0,1.76,22158.55,2023-04-19,FinMark
144,AD5144,CAM1087,YouTube,9582,1019.0,3.16,39307.21,2023-06-18,FinMark
146,AD5146,CAM1074,Facebook,16397,4024.0,0.93,39906.71,2025-02-04,FinMark
147,AD5147,CAM1013,Facebook,43799,2186.0,4.87,29247.96,2023-03-15,FinMark
148,AD5148,CAM1032,YouTube,42011,2107.0,7.13,17761.4,2024-04-14,FinMark
149,AD5149,CAM1067,,84183,900.0,1.64,40688.96,2022-08-15,FinMark
150,AD5007,CAM1015,Email,19130,4733.0,6.27,34894.29,2025-01-24,FinMark
151,AD5009,CAM1070,Email,21075,400.0,4.83,2881.64,2022-04-13,FinMark
152,AD5107,CAM1049,Email,23100,965.0,5.57,17409.04,2022-11-21,FinMark
153,AD5003,CAM1018,,16360,,6.78,35353.78,2022-04-19,FinMark
154,AD5035,CAM1009,Instagram,72657,1399.0,2.64,,2022-06-07,FinMark
155,AD5114,CAM1083,Email,42040,3042.0,7.47,8910.94,2024-08-12,FinMark
156,AD5085,CAM1028,Facebook,59675,,,25938.99,2025-04-17,FinMark
158,AD5103,CAM1062,YouTube,12853,118.0,1.5,5261.38,2025-03-07,FinMark
159,AD5083,CAM1033,LinkedIn,79462,463.0,2.95,46418.47,2022-02-14,FinMark
