,engagement_id,customer_id,service_id,quantity,billed_amount,engagement_date,recorded_by
0,ENG10000,CUST1051,PROD015,3,77303.63,2023-04-30,FinMark BI Team
1,ENG10001,CUST1092,PROD004,1,69271.9,2025-01-12,FinMark BI Team
2,ENG10002,CUST1014,PROD012,3,20093.91,2023-08-07,FinMark BI Team
4,ENG10004,CUST1060,PROD002,2 units,23068.12,2022-08-24,FinMark BI Team
5,ENG10005,CUST1020,PROD019,3,35456.43,2022-02-25,FinMark BI Team
6,ENG10006,CUST1082,PROD019,1,23571.48,2022-12-26,FinMark BI Team
7,ENG10007,CUST1086,PROD004,1,56227.73,2022-04-20,FinMark BI Team
8,ENG10008,CUST1074,PROD004,2 units,61195.39,2022-07-11,FinMark BI Team
9,ENG10009,CUST1074,PROD011,3,26869.26,2024-06-22,FinMark BI Team
10,ENG10010,CUST1087,PROD005,3,43030.33,2025-01-21,FinMark BI Team
11,ENG10011,CUST1099,PROD020,1,47374.19,2024-05-11,FinMark BI Team
12,ENG10012,CUST1023,PROD011,3,42143.18,2023-07-22,FinMark BI Team
13,ENG10013,CUST1002,PROD010,3,27261.5,2024-12-19,FinMark BI Team
14,ENG10014,CUST1021,PROD008,3,45136.87,2023-10-12,FinMark BI Team
15,ENG10015,CUST1052,PROD006,2,65070.68,2022-02-08,FinMark BI Team
16,ENG10016,CUST1001,PROD006,2 units,24260.46,2024-12-08,FinMark BI Team
18,ENG10018,CUST1029,PROD015,2 units,41286.28,2023-09-29,FinMark BI Team
19,ENG10019,CUST1037,PROD014,1,76503.54,2024-11-02,FinMark BI Team
20,ENG10020,CUST1001,PROD011,3,60114.36,2022-02-05,FinMark BI Team
21,ENG10021,CUST1063,PROD012,2 units,60720.2,2022-04-11,FinMark BI Team
22,ENG10022,CUST1059,PROD013,2,41715.2,2025-01-14,FinMark BI Team
23,ENG10023,CUST1020,PROD008,3,55619.65,2025-05-31,FinMark BI Team
25,ENG10025,CUST1075,PROD001,2 units,58165.76,2022-06-15,FinMark BI Team
26,ENG10026,CUST1057,PROD015,2 units,74797.22,2023-01-18,FinMark BI Team
28,ENG10028,CUST1088,PROD011,3,72421.92,2024-02-29,FinMark BI Team
29,ENG10029,CUST1048,PROD012,2,63438.38,2022-01-31,FinMark BI Team
31,ENG10031,CUST1058,PROD004,2 units,74147.2,2022-01-11,FinMark BI Team
33,ENG10033,CUST1091,PROD004,1,52038.05,2022-04-06,FinMark BI Team
34,ENG10034,CUST1059,PROD005,2,28528.23,2025-04-28,FinMark BI Team
35,ENG10035,CUST1079,PROD005,1,20702.4,2023-03-29,FinMark BI Team
36,ENG10036,CUST1014,PROD008,2,45322.06,2022-07-11,FinMark BI Team
37,ENG10037,CUST1061,PROD010,2 units,37702.44,2023-05-01,FinMark BI Team
40,ENG10040,CUST1061,PROD019,2 units,22624.34,2025-02-25,FinMark BI Team
41,ENG10041,CUST1050,PROD014,1,27380.2,2022-08-26,FinMark BI Team
43,ENG10043,CUST1063,PROD009,2,40590.04,2025-02-09,FinMark BI Team
