month,region,sales,ad_spend,foot_traffic,client_name
2022-01,North Luzon,72991.0,4580.0,,FinMark
2022-01,South Luzon,77621.0,4486.0,2687.0,FinMark
2022-01,Visayas,,2840.0,3207.0,FinMark
2022-01,Mindanao,22021.0,4876.0,8690.0,FinMark
2022-02,North Luzon,,4811.0,3447.0,FinMark
,South Luzon,75799.0,2531.0,2668.0,FinMark
2022-02,Visayas,13694.0,,,FinMark
2022-02,Mindanao,,4241.0,2313.0,FinMark
2022-03,North Luzon,71925.0,3851.0,8216.0,FinMark
2022-03,South Luzon,68799.0,3520.0,1859.0,FinMark
2022-03,Visayas,,1883.0,6495.0,FinMark
2022-03,Mindanao,79176.0,2733.0,4360.0,FinMark
2022-04,North Luzon,25970.0,1195.0,7234.0,FinMark
2022-04,South Luzon,69914.0,1257.0,6094.0,FinMark
2022-04,Visayas,12154.0,3588.0,3981.0,FinMark
2022-04,Mindanao,48177.0,2758.0,4396.0,FinMark
2022-05,North Luzon,64600.0,1767.0,2701.0,FinMark
2022-05,South Luzon,57265.0,1277.0,6457.0,FinMark
2022-05,Visayas,76535.0,3269.0,2996.0,FinMark
2022-05,Mindanao,15706.0,3603.0,5058.0,FinMark
2022-06,North Luzon,12128.0,2462.0,4824.0,FinMark
2022-06,South Luzon,23587.0,4160.0,8198.0,FinMark
2022-06,Visayas,15811.0,2443.0,8664.0,FinMark
2022-06,Mindanao,70899.0,3848.0,,FinMark
2022-07,North Luzon,18270.0,16479.0,5749.0,FinMark
2022-07,South Luzon,412913.0,,8480.0,FinMark
2022-07,Visayas,15492.0,16261.0,,FinMark
2022-07,Mindanao,72049.0,12530.0,8170.0,FinMark
2022-08,North Luzon,,2462.0,2391.0,FinMark
2022-08,South Luzon,53506.0,2119.0,5014.0,FinMark
,Visayas,62431.0,4044.0,5167.0,FinMark
2022-08,Mindanao,34486.0,3032.0,5009.0,FinMark
2022-09,North Luzon,78062.0,2092.0,7956.0,FinMark
2022-09,South Luzon,66440.0,3467.0,3478.0,FinMark
2022-09,Visayas,52101.0,,7414.0,FinMark
2022-09,Mindanao,68447.0,3468.0,,FinMark
2022-10,North Luzon,56077.0,2831.0,4888.0,FinMark
2022-10,South Luzon,67008.0,2124.0,8483.0,FinMark
2022-10,Visayas,19835.0,3749.0,,FinMark
2022-10,Mindanao,,,8952.0,FinMark
2022-11,North Luzon,,1142.0,3933.0,FinMark
,South Luzon,58015.0,2483.0,6646.0,FinMark
2022-11,Visayas,200506.0,1628.0,5038.0,FinMark
2022-11,Mindanao,20077.0,3350.0,,FinMark
2022-12,North Luzon,46528.0,2022.0,2212.0,FinMark
2022-12,South Luzon,75410.0,,,FinMark
2022-12,Visayas,44116.0,3883.0,7012.0,FinMark
2022-12,Mindanao,74382.0,1819.0,8986.0,FinMark
2023-01,North Luzon,32630.0,4680.0,2719.0,FinMark
2023-01,South Luzon,51889.0,3735.0,2531.0,FinMark
2023-01,Visayas,,4650.0,3290.0,FinMark
2023-01,Mindanao,32818.0,4250.0,3836.0,FinMark
2023-02,North Luzon,36342.0,,8474.0,FinMark
2023-02,South Luzon,57303.0,3269.0,5828.0,FinMark
2023-02,Visayas,,3506.0,2538.0,FinMark
2023-02,Mindanao,72739.0,3153.0,5354.0,FinMark
,North Luzon,19666.0,,7262.0,FinMark
2023-03,South Luzon,71057.0,3785.0,3051.0,FinMark
2023-03,Visayas,33850.0,4144.0,5544.0,FinMark
,Mindanao,17263.0,4405.0,,FinMark
2023-04,North Luzon,31229.0,2321.0,3847.0,FinMark
2023-04,South Luzon,78012.0,4665.0,,FinMark
2023-04,Visayas,45972.0,,7033.0,FinMark
2023-04,Mindanao,75873.0,3625.0,6756.0,FinMark
2023-05,North Luzon,,4451.0,2337.0,FinMark
2023-05,South Luzon,13718.0,1332.0,7254.0,FinMark
2023-05,Visayas,44688.0,,6686.0,FinMark
2023-05,Mindanao,13969.0,,6469.0,FinMark
,North Luzon,49596.0,2978.0,,FinMark
06/2023,South Luzon,48985.0,2857.0,2490.0,FinMark
2023-06,Visayas,64476.0,2983.0,4786.0,FinMark
2023-06,Mindanao,50970.0,4528.0,8014.0,FinMark
2023-07,North Luzon,55268.0,20282.0,3071.0,FinMark
2023-07,South Luzon,77499.0,27856.0,4614.0,FinMark
2023-07,Visayas,,21047.0,4030.0,FinMark
2023-07,Mindanao,16632.0,27857.0,5146.0,FinMark
2023-08,North Luzon,64805.0,2016.0,3308.0,FinMark
2023-08,South Luzon,50988.0,1777.0,6081.0,FinMark
2023-08,Visayas,,3042.0,6074.0,FinMark
2023-08,Mindanao,385004.0,4871.0,5745.0,FinMark
2023-09,North Luzon,38199.0,3389.0,2414.0,FinMark
2023-09,South Luzon,,2170.0,8940.0,FinMark
,Visayas,27555.0,4614.0,4996.0,FinMark
2023-09,Mindanao,57964.0,1185.0,6671.0,FinMark
2023-10,North Luzon,57516.0,3266.0,5164.0,FinMark
2023-10,South Luzon,46663.0,4380.0,7573.0,FinMark
2023-10,Visayas,26864.0,4993.0,5057.0,FinMark
2023-10,Mindanao,54444.0,3284.0,8184.0,FinMark
2023-11,North Luzon,76731.0,2644.0,2371.0,FinMark
2023-11,South Luzon,,3922.0,5880.0,FinMark
2023-11,Visayas,29521.0,3483.0,3145.0,FinMark
2023-11,Mindanao,51750.0,1665.0,7050.0,FinMark
2023-12,North Luzon,49221.0,,8785.0,FinMark
2023-12,South Luzon,74205.0,3902.0,,FinMark
2023-12,Visayas,58281.0,2356.0,5412.0,FinMark
2023-12,Mindanao,13492.0,3444.0,7370.0,FinMark
2024-01,North Luzon,39824.0,3954.0,5935.0,FinMark
2024-01,South Luzon,59832.0,1605.0,3984.0,FinMark
2024-01,Visayas,424791.0,4883.0,3562.0,FinMark
2024-01,Mindanao,479264.0,2284.0,5382.0,FinMark
,North Luzon,63788.0,3055.0,5863.0,FinMark
2024-02,South Luzon,18163.0,3890.0,3698.0,FinMark
,Visayas,72701.0,3152.0,3418.0,FinMark
2024-02,Mindanao,79878.0,2402.0,7536.0,FinMark
2024-03,North Luzon,44650.0,3498.0,4019.0,FinMark
2024-03,South Luzon,49124.0,1921.0,4438.0,FinMark
,Visayas,37168.0,3827.0,4597.0,FinMark
2024-03,Mindanao,,2178.0,7542.0,FinMark
2024-04,North Luzon,,4352.0,8332.0,FinMark
2024-04,South Luzon,48070.0,1172.0,7850.0,FinMark
2024-04,Visayas,67983.0,3686.0,5924.0,FinMark
2024-04,Mindanao,45537.0,,4225.0,FinMark
2024-05,North Luzon,41363.0,1993.0,6350.0,FinMark
2024-05,South Luzon,40518.0,1215.0,4705.0,FinMark
2024-05,Visayas,23178.0,3790.0,2042.0,FinMark
2024-05,Mindanao,30701.0,2666.0,5896.0,FinMark
2024-06,North Luzon,36143.0,4096.0,4631.0,FinMark
,South Luzon,17754.0,4718.0,7343.0,FinMark
